date,year,name,isholiday,holidaycategory,description
20190207,2019,春節,是,放假之紀念日及節日,全國各機關學校於二月五日至二月七日放假三日，其中二月七日適逢星期四，調整二月八日為放假日，並於一月十九日補行上班一日。
20190208,2019,,是,調整放假日,
20190209,2019,,是,星期六、星期日,
20190210,2019,,是,星期六、星期日,
20190216,2019,,是,星期六、星期日,
20190217,2019,,是,星期六、星期日,
20190223,2019,,否,補行上班日,
20190224,2019,,是,星期六、星期日,
20190228,2019,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整三月一日為放假日，並於二月二十三日補行上班一日。
20190301,2019,,是,調整放假日,
20190302,2019,,是,星期六、星期日,
20190303,2019,,是,星期六、星期日,
20190309,2019,,是,星期六、星期日,
20190310,2019,,是,星期六、星期日,
20190316,2019,,是,星期六、星期日,
20190317,2019,,是,星期六、星期日,
20190323,2019,,是,星期六、星期日,
20190324,2019,,是,星期六、星期日,
20190330,2019,,是,星期六、星期日,
20190331,2019,,是,星期六、星期日,
20190404,2019,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日。
20190405,2019,民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日。
20190406,2019,,是,星期六、星期日,
20190407,2019,,是,星期六、星期日,
20190413,2019,,是,星期六、星期日,
20190414,2019,,是,星期六、星期日,
20190420,2019,,是,星期六、星期日,
20190421,2019,,是,星期六、星期日,
20190427,2019,,是,星期六、星期日,
20190428,2019,,是,星期六、星期日,
20190501,2019,勞動節,是,特定節日,勞工放假一日。
20190504,2019,,是,星期六、星期日,
20190505,2019,,是,星期六、星期日,
20190511,2019,,是,星期六、星期日,
20190512,2019,,是,星期六、星期日,
20190518,2019,,是,星期六、星期日,
20190519,2019,,是,星期六、星期日,
20190525,2019,,是,星期六、星期日,
20190526,2019,,是,星期六、星期日,
20190601,2019,,是,星期六、星期日,
20190602,2019,,是,星期六、星期日,
20190607,2019,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20190608,2019,,是,星期六、星期日,
20190609,2019,,是,星期六、星期日,
20190615,2019,,是,星期六、星期日,
20190616,2019,,是,星期六、星期日,
20190622,2019,,是,星期六、星期日,
20190623,2019,,是,星期六、星期日,
20190629,2019,,是,星期六、星期日,
20190630,2019,,是,星期六、星期日,
20190706,2019,,是,星期六、星期日,
20190707,2019,,是,星期六、星期日,
20190713,2019,,是,星期六、星期日,
20190714,2019,,是,星期六、星期日,
20190720,2019,,是,星期六、星期日,
20190721,2019,,是,星期六、星期日,
20190727,2019,,是,星期六、星期日,
20190728,2019,,是,星期六、星期日,
20190803,2019,,是,星期六、星期日,
20190804,2019,,是,星期六、星期日,
20190810,2019,,是,星期六、星期日,
20190811,2019,,是,星期六、星期日,
20190817,2019,,是,星期六、星期日,
20190818,2019,,是,星期六、星期日,
20190824,2019,,是,星期六、星期日,
20190825,2019,,是,星期六、星期日,
20190831,2019,,是,星期六、星期日,
20190901,2019,,是,星期六、星期日,
20190903,2019,軍人節,是,特定節日,軍人依國防部規定辦理。
20190907,2019,,是,星期六、星期日,
20190908,2019,,是,星期六、星期日,
20190913,2019,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
20190914,2019,,是,星期六、星期日,
20190915,2019,,是,星期六、星期日,
20190921,2019,,是,星期六、星期日,
20190922,2019,,是,星期六、星期日,
20190928,2019,,是,星期六、星期日,
20190929,2019,,是,星期六、星期日,
20191005,2019,,否,補行上班日,
20191006,2019,,是,星期六、星期日,
20191010,2019,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整十月十一日為放假日，並於十月五日補行上班一日。
20191011,2019,,是,調整放假日,
20191012,2019,,是,星期六、星期日,
20191013,2019,,是,星期六、星期日,
20191019,2019,,是,星期六、星期日,
20191020,2019,,是,星期六、星期日,
20191026,2019,,是,星期六、星期日,
20191027,2019,,是,星期六、星期日,
20191102,2019,,是,星期六、星期日,
20191103,2019,,是,星期六、星期日,
20191109,2019,,是,星期六、星期日,
20191110,2019,,是,星期六、星期日,
20191116,2019,,是,星期六、星期日,
20191117,2019,,是,星期六、星期日,
20191123,2019,,是,星期六、星期日,
20191124,2019,,是,星期六、星期日,
20191130,2019,,是,星期六、星期日,
20191201,2019,,是,星期六、星期日,
20191207,2019,,是,星期六、星期日,
20191208,2019,,是,星期六、星期日,
20191214,2019,,是,星期六、星期日,
20191215,2019,,是,星期六、星期日,
20191221,2019,,是,星期六、星期日,
20191222,2019,,是,星期六、星期日,
20191228,2019,,是,星期六、星期日,
20191229,2019,,是,星期六、星期日,
20200101,2020,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20200104,2020,,是,星期六、星期日,
20200105,2020,,是,星期六、星期日,
20200111,2020,,是,星期六、星期日,
20200112,2020,,是,星期六、星期日,
20200118,2020,,是,星期六、星期日,
20200119,2020,,是,星期六、星期日,
20200123,2020,,是,調整放假日,
20200124,2020,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，前一日(一月二十三日)功能性調整放假，並於二月十五日補行上班一日。
20200125,2020,春節,是,放假之紀念日及節日,全國各機關學校於一月二十五日至一月二十七日放假三日，其中春節初一、初二適逢星期六、日，分別於一月二十八日及一月二十九日各補假一日。
20200126,2020,春節,是,放假之紀念日及節日,全國各機關學校於一月二十五日至一月二十七日放假三日，其中春節初一、初二適逢星期六、日，分別於一月二十八日及一月二十九日各補假一日。
20200127,2020,春節,是,放假之紀念日及節日,全國各機關學校於一月二十五日至一月二十七日放假三日，其中春節初一、初二適逢星期六、日，分別於一月二十八日及一月二十九日各補假一日。
20200128,2020,,是,補假,
20200129,2020,,是,補假,
20200201,2020,,是,星期六、星期日,
20200202,2020,,是,星期六、星期日,
20200208,2020,,是,星期六、星期日,
20200209,2020,,是,星期六、星期日,
20200215,2020,,否,補行上班日,
20200216,2020,,是,星期六、星期日,
20200222,2020,,是,星期六、星期日,
20200223,2020,,是,星期六、星期日,
20200228,2020,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20200229,2020,,是,星期六、星期日,
20200301,2020,,是,星期六、星期日,
20200307,2020,,是,星期六、星期日,
20200308,2020,,是,星期六、星期日,
20200314,2020,,是,星期六、星期日,
20200315,2020,,是,星期六、星期日,
20200321,2020,,是,星期六、星期日,
20200322,2020,,是,星期六、星期日,
20200328,2020,,是,星期六、星期日,
20200329,2020,,是,星期六、星期日,
20200402,2020,,是,補假,
20200403,2020,,是,放假之紀念日及節日,
20200404,2020,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日，兒童節與民族掃墓節同一日且逢星期六，於四月二日補假一日、四月三日放假一日。
20200405,2020,,是,星期六、星期日,
20200411,2020,,是,星期六、星期日,
20200412,2020,,是,星期六、星期日,
20200418,2020,,是,星期六、星期日,
20200419,2020,,是,星期六、星期日,
20200425,2020,,是,星期六、星期日,
20200426,2020,,是,星期六、星期日,
20200501,2020,勞動節,是,特定節日,勞工放假一日。
20200502,2020,,是,星期六、星期日,
20200503,2020,,是,星期六、星期日,
20200509,2020,,是,星期六、星期日,
20200510,2020,,是,星期六、星期日,
20200516,2020,,是,星期六、星期日,
20200517,2020,,是,星期六、星期日,
20200523,2020,,是,星期六、星期日,
20200524,2020,,是,星期六、星期日,
20200530,2020,,是,星期六、星期日,
20200531,2020,,是,星期六、星期日,
20200606,2020,,是,星期六、星期日,
20200607,2020,,是,星期六、星期日,
20200613,2020,,是,星期六、星期日,
20200614,2020,,是,星期六、星期日,
20200620,2020,,否,補行上班日,
20200621,2020,,是,星期六、星期日,
20200625,2020,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整六月二十六日為放假日，並於六月二十日補行上班一日。
20200626,2020,,是,調整放假日,
20200627,2020,,是,星期六、星期日,
20200628,2020,,是,星期六、星期日,
20200704,2020,,是,星期六、星期日,
20200705,2020,,是,星期六、星期日,
20200711,2020,,是,星期六、星期日,
20200712,2020,,是,星期六、星期日,
20200718,2020,,是,星期六、星期日,
20200719,2020,,是,星期六、星期日,
20200725,2020,,是,星期六、星期日,
20200726,2020,,是,星期六、星期日,
20200801,2020,,是,星期六、星期日,
20200802,2020,,是,星期六、星期日,
20200808,2020,,是,星期六、星期日,
20200809,2020,,是,星期六、星期日,
20200815,2020,,是,星期六、星期日,
20200816,2020,,是,星期六、星期日,
20200822,2020,,是,星期六、星期日,
20200823,2020,,是,星期六、星期日,
20200829,2020,,是,星期六、星期日,
20200830,2020,,是,星期六、星期日,
20200903,2020,軍人節,是,特定節日,軍人依國防部規定辦理。
20200905,2020,,是,星期六、星期日,
20200906,2020,,是,星期六、星期日,
20200912,2020,,是,星期六、星期日,
20200913,2020,,是,星期六、星期日,
20200919,2020,,是,星期六、星期日,
20200920,2020,,是,星期六、星期日,
20200926,2020,,否,補行上班日,
20200927,2020,,是,星期六、星期日,
20201001,2020,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整十月二日為放假日，並於九月二十六日補行上班一日。
20201002,2020,,是,調整放假日,
20201003,2020,,是,星期六、星期日,
20201004,2020,,是,星期六、星期日,
20201009,2020,,是,補假,
